SKU,Style,Category,Size,Color,Inventory
JNE3640-TP-N-S,JNE3640,Top,S,,0
NW033-ST-CP-XXL,NW033,Set,XXL,Yellow,22
NW009-ST-CP-XXL,NW009,Set,XXL,Turquoise,5
CH208-MUSTARD-XXL,CH208,Bottom,XXL,Mustard,4
SET183-KR-DH-L,SET183,Set,L,Olive Green,123
JNE3416-KR-S,JNE3416,kurta,S,Brown,47
J0249-SKD-XXL,J0249,Set,XXL,Blue,32
SET172-KR-PP-B-L,SET172,Set,L,,0
PJNE3368-KR-5XL,PJNE3368,kurta,5XL,Light Green,6
SET442-KR-NP-M,SET442,Set,M,Sky Blue,49
SAR027,SAR027,Saree,Free,Mauve,3
J0245-SKD-XL,J0245,Set,XL,OFF WHITE,10
SET253-KR-NP-XXL,SET253,Set,XXL,Black,8
JNE3368-KR-XS,JNE3368,kurta,XS,Light Green,107
JNE3661-TP-XXL,JNE3661,Top,XXL,Pink,5
JNE2171-KR-437-XS,JNE2171,kurta,XS,White,29
JNE3515-KR-XS,JNE3515,kurta,XS,CORAL ,25
SET346-KR-PP-S,SET346,Set,S,Beige,56
SET348-KR-NP-XL,SET348,Set,XL,Pink,6
JNE3861-DR-XS,JNE3861,Western Dress,XS,Red,32
SET364-KR-NP-S,SET364,Set,S,Yellow,13
J0349-SET-XXXL,J0349,Set,3XL,Cream,27
JNE1408-GREY-KR-UDF19-XL,JNE1408,kurta,XL,Grey,103
JNE1525-KR-UDF19-A-L,JNE1525,kurta,L,,0
JNE3739-KR-XXL,JNE3739,kurta,XXL,Maroon,9
JNE3400-KR-XXL,JNE3400,kurta,XXL,Brown,2
JNE3798-KR-A-XXXL,JNE3798,Western Dress,3XL,,0
SET323-KR-NP-S,SET323,Set,S,White,9
JNE3758-KR-XXXL,JNE3758,kurta,3XL,Maroon,3
JNE3566-KR-M,JNE3566,kurta,M,Dark Green,20
JNE3396-KR-S,JNE3396,kurta,S,Brown,45
JNE3906-KR-L,JNE3906,kurta,L,Navy Blue,66
JNE1408-GREY-KR-UDF19-XXL,JNE1408,kurta,XXL,Grey,55
PJ0096-KR-N-5XL,PJ0096,kurta,5XL,,0
SET397-KR-NP-XXXL,SET397,Set,3XL,TEAL BLUE ,2
J0345-SET-XS,J0345,Set,XS,Cream,0
J0239-SKD-L,J0239,Set,L,OFF WHITE,7
JNE3296-KR-XL,JNE3296,kurta,XL,,0
J0126-SKD-XL,J0126,Set,XL,Blue,4
JNE3835-KR-M,JNE3835,kurta,M,Black,46
SET386-KR-NP-L,SET386,Set,L,Light Pink,4
JNE3672-TU-XXXL,JNE3672,Top,3XL,Red,3
JNE1906-KR-031-XS,JNE1906,kurta,XS,Black,34
SET220-KR-PP-M,SET220,Set,M,White,3
SET313-KR-NP-M,SET313,Set,M,White,3
SET193-KR-NP-A-M,SET193,Set,M,,0
JNE1906-KR-031-M,JNE1906,kurta,M,Black,10
JNE3897-KR-S,JNE3897,kurta,S,Rust,39
SET431-KR-NP-XS,SET431,Set,XS,Brown,56
JNE3765-KR-XS,JNE3765,kurta,XS,Mustard,78
JNE3903-KR-XS,JNE3903,kurta,XS,Brown,35
JNE3760-KR-XS,JNE3760,kurta,XS,Teal,10
J0252-SKD-XS,J0252,Set,XS,Orange,9
PJNE3568-KR-N-4XL,PJNE3568,kurta,4XL,,0
SET307-KR-DPT-M,SET307,Set,M,Grey,46
SET308-KR-PP-XXXL,SET308,Set,3XL,Grey,27
JNE3895-TP-M,JNE3895,Top,M,Beige,41
J0329-KR-XL,J0329,kurta,XL,Yellow,26
SET239-KR-NP-XL,SET239,Set,XL,OFF WHITE,2
JNE2014-KR-178-XXXL,JNE2014,kurta,3XL,Multicolor,29
JNE3719-KR-XXL,JNE3719,kurta,XXL,TEAL GREEN ,38
JNE3607-KR-M,JNE3607,kurta,M,Maroon,257
JNE3881-DR-M,JNE3881,Western Dress,M,Blue,3
SET194-KR-NP-XXXL,SET194,Set,3XL,Mustard,82
JNE3741-KR-XL,JNE3741,kurta,XL,TEAL GREEN ,37
JNE3368-KR-S,JNE3368,kurta,S,Light Green,296
JNE3751-KR-XS,JNE3751,kurta,XS,White,59
NW031-TP-PJ-XXL,NW031,Set,XXL,Cream,3
JNE3363-KR-1032-XL,JNE3363,kurta,XL,Dark Blue,22
NW034-TP-PJ-XS,NW034,Set,XS,Peach,7
JNE3862-TU-XS,JNE3862,Top,XS,Maroon,25
JNE3710-DR-XXXL,JNE3710,Western Dress,3XL,Blue,2
JNE3837-KR-XXL,JNE3837,kurta,XXL,Black,29
SET433-KR-NP-M,SET433,Set,M,Teal,44
SET201-KR-NP-A-XS,SET201,Set,XS,,0
JNE3890-TP-L,JNE3890,Top,L,Cream,51
J0102-SKD-XXXL,J0102,Set,3XL,Purple,36
JNE3515-KR-XXXL,JNE3515,kurta,3XL,CORAL ,55
SET410-KR-NP-XXL,SET410,Set,XXL,Green,37
JNE2291-KR-602-S,JNE2291,kurta,S,Mustard,62
MEN5028-KR-XXL,MEN5028,kurta,XXL,Brown,15
SET281-KR-PP-A-XXXL,SET281,Set,3XL,,0
SET128-KR-DH-XXXL,SET128,Set,3XL,Beige,18
J0159-DR-XS,J0159,Western Dress,XS,Blue,28
SET038-KR-PP-L,SET038,Set,L,Red,49
SET401-KR-NP-M,SET401,Set,M,Black,7
JNE3794-KR-L,JNE3794,kurta,L,Peach,75
JNE3648-TP-N-XL,JNE3648,Top,XL,,0
JNE3766-KR-XL,JNE3766,kurta,XL,Grey,19
JNE3765-KR-XL,JNE3765,kurta,XL,Mustard,131
JNE3459-KR-L,JNE3459,kurta,L,Navy Blue,21
BL110-L,BL110,Blouse,L,Red,8
SET385-KR-NP-M,SET385,Set,M,Sky Blue,3
SET204-KR-DPT-XXXL,SET204,Set,3XL,Green,5
J0014-LCD-XL,J0014,Set,XL,Mustard,27
JNE3896-KR-A-L,JNE3896,kurta,L,,0
J0372-SKD-M,J0372,Set,M,Mustard,25
J0386-KR-L,J0386,kurta,L,Rust,0
J0101-DR-XS,J0101,Ethnic Dress,XS,Light Green,32
SET289-KR-NP-M,SET289,Set,M,Maroon,23
JNE3636-KR-M,JNE3636,kurta,M,Maroon,62
NW005-ST-PJ-XL,NW005,Set,XL,White,11
JNE3780-KR-XXXL,JNE3780,kurta,3XL,Navy Blue,40
MEN5029-KR-M,MEN5029,kurta,M,Blue,32
J0331-KR-XXXL,J0331,kurta,3XL,Purple,27
J0341-DR-XS,J0341,Western Dress,XS,Blue,77
JNE3718-KR-M,JNE3718,kurta,M,Navy Blue,216
JNE3420-KR-M,JNE3420,kurta,M,Pink,6
JNE3790-KR-XXL,JNE3790,kurta,XXL,Navy Blue,34
NW013-ST-SR-S,NW013,Set,S,Turquoise,13
SET219-KR-PP-M,SET219,Set,M,Turquoise Green,5
JNE3605-KR-XL,JNE3605,kurta,XL,Pink,7
JNE3568-KR-M,JNE3568,kurta,M,Yellow,197
JNE3630-KR-XXXL,JNE3630,kurta,3XL,Blue,4
JNE3881-DR-XXL,JNE3881,Western Dress,XXL,Blue,1
JNE3763-KR-XXL,JNE3763,kurta,XXL,Teal,113
PJNE3404-KR-N-4XL,PJNE3404,kurta,4XL,,0
SET438-KR-NP-XL,SET438,Set,XL,Pink,66
JNE3738-KR-XL,JNE3738,kurta,XL,Green,40
SET405-KR-NP-L,SET405,Set,L,Red,8
SET366-KR-NP-XXXL,SET366,Set,3XL,Pink,28
JNE3802-KR-XXL,JNE3802,kurta,XXL,Orange,15
JNE3568-KR-L,JNE3568,kurta,L,Yellow,147
J0219-BL-M,J0219,Blouse,M,Pink,72
JNE3906-KR-M,JNE3906,kurta,M,Navy Blue,68
JNE3927-KR-XS,JNE3927,kurta,XS,Pink,52
AN205-YELLOW-XXL,AN205,Bottom,XXL,Yellow,13
J0091-TP-XL,J0091,Top,XL,Red,17
JNE3729-KR-XS,JNE3729,kurta,XS,Yellow,8
SET437-KR-PP-M,SET437,Set,M,Wine,77
SET331-KR-NP-S,SET331,Set,S,Green,161
JNE3702-KR-XS,JNE3702,kurta,XS,Light Green,66
SET386-KR-NP-XXXL,SET386,Set,3XL,Light Pink,3
JNE3439-KR-M,JNE3439,kurta,M,Blue,99
J0148-SET-XXXL,J0148,Set,3XL,Green,21
SET251-KR-PP-XXXL,SET251,Set,3XL,Cream,26
SET250-KR-SHA-XXXL,SET250,Set,3XL,Magenta,5
SET437-KR-PP-S,SET437,Set,S,Wine,75
SET437-KR-PP-L,SET437,Set,L,Wine,72
JNE3480-KR-XL,JNE3480,kurta,XL,Pink,5
SET462-KR-NP-S,SET462,Set,S,Teal,44
J0252-SKD-L,J0252,Set,L,Orange,1
JNE3927-KR-M,JNE3927,kurta,M,Pink,65
SET433-KR-NP-S,SET433,Set,S,Teal,61
JNE3671-TU-XXXL,JNE3671,Top,3XL,Pink,6
JNE3160-KR-XXL,JNE3160,kurta,XXL,White,37
J0136-KR-M,J0136,kurta,M,Black,8
JNE3690-TU-XL,JNE3690,Top,XL,Maroon,38
JNE3733-KR-XXXL,JNE3733,kurta,3XL,Turquoise Blue,2
SET258-KR-PP-XS,SET258,Set,XS,OFF WHITE,6
JNE3068-KR-A-L,JNE3068,kurta,L,,0
JNE3398-KR-XXXL,JNE3398,kurta,3XL,Yellow,3
JNE3384-KR-XXXL,JNE3384,kurta,3XL,Turquoise Blue,7
JNE3676-TU-L,JNE3676,Top,L,Red,79
JNE2270-KR-487-A-L,JNE2270,kurta,L,,0
JNE3798-KR-A-L,JNE3798,Western Dress,L,,0
JNE3440-KR-N-S,JNE3440,kurta,S,,0
SET384-KR-NP-XXXL,SET384,Set,3XL,LIGHT YELLOW,5
MEN5008-KR-L,MEN5008,kurta,L,Blue,11
JNE2270-KR-487-A-XXL,JNE2270,kurta,XXL,,0
JNE1233-BLUE-KR-031-M,JNE1233,kurta,M,Blue,117
JNE2006-KR-158-S,JNE2006,kurta,S,,0
JNE2100-KR-144-S,JNE2100,kurta,S,Teal,76
JNE3745-KR-S,JNE3745,kurta,S,Teal Green,89
JNE3759-KR-M,JNE3759,kurta,M,Pink,134
MEN5015-KR-S,MEN5015,kurta,S,Pink,34
JNE1234-MULTI-KR-032-M,JNE1234,kurta,M,Multicolor,21
JNE3457-KR-XL,JNE3457,kurta,XL,Turquoise Blue,27
SET318-KR-SHA-XL,SET318,Set,XL,Orange,30
JNE3504-KR-XL,JNE3504,kurta,XL,Green,11
SET199-KR-NP-XXL,SET199,Set,XXL,Peach,7
J0341-DR-L,J0341,Western Dress,L,Blue,193
SET250-KR-SHA-L,SET250,Set,L,Magenta,13
JNE3470-KR-XXL,JNE3470,kurta,XXL,Peach,35
J0139-KR-S,J0139,kurta,S,Navy Blue,6
SET293-KR-NP-XXXL,SET293,Set,3XL,Blue,7
SET295-KR-NP-XXXL,SET295,Set,3XL,Black,4
JNE3778-KR-S,JNE3778,kurta,S,Green,57
SET363-KR-NP-S,SET363,Set,S,Pink,4
JNE3811-KR-S,JNE3811,kurta,S,Navy Blue,5
JNE3793-KR-M,JNE3793,kurta,M,Maroon,67
SET325-KR-NP-M,SET325,Set,M,Black,60
JNE3720-KR-M,JNE3720,kurta,M,Navy Blue,326
SET203-KR-DPT-XS,SET203,Set,XS,Maroon,14
JNE3548-KR-M,JNE3548,kurta,M,Dark Blue,112
JNE3547-KR-M,JNE3547,kurta,M,Turquoise Blue,26
JNE3491-KR-L,JNE3491,kurta,L,Blue,2
SET128-KR-DH-XXL,SET128,Set,XXL,Beige,10
J0037-KR-XXXL,J0037,kurta,3XL,Sky Blue,5
J0134-SET-XXL,J0134,Set,XXL,Cream,3
JNE3701-KR-XXL,JNE3701,kurta,XXL,Orange,88
SET317-KR-PP-S,SET317,Set,S,Olive Green,9
SET355-KR-PP-XXL,SET355,Set,XXL,Light Green,3
J0233-SKD-XXXL,J0233,Set,3XL,Maroon,36
MEN5026-KR-XXXL,MEN5026,kurta,3XL,Blue,8
SET249-KR-NP-XS,SET249,Set,XS,Green,52
JNE3676-TU-M,JNE3676,Top,M,Red,4
JNE3822-KR-M,JNE3822,kurta,M,Blue,6
JNE3735-KR-XXXL,JNE3735,kurta,3XL,Beige,8
J0037-KR-L,J0037,kurta,L,Sky Blue,5
JNE3483-KR-L,JNE3483,kurta,L,Grey,32
SET217-KR-PP-S,SET217,Set,S,Sea Green,10
J0355-KR-XXL,J0355,kurta,XXL,Blue,6
JNE3701-KR-L,JNE3701,kurta,L,Orange,111
J0152-DR-XS,J0152,Western Dress,XS,Blue,0
JNE3220-KR-XXL,JNE3220,kurta,XXL,,0
SET436-KR-NP-M,SET436,Set,M,Pink,14
JNE3732-KR-XL,JNE3732,kurta,XL,Black,14
JNE3770-KR-XXXL,JNE3770,kurta,3XL,Blue,62
JNE3621-KR-A-XXL,JNE3621,kurta,XXL,,0
JNE2199-KR-411-A-XXL,JNE2199,kurta,XXL,,0
J0283-SET-M,J0283,Set,M,Grey,7
J0164-DR-L,J0164,Ethnic Dress,L,Orange,7
JNE3768-KR-XXXL,JNE3768,kurta,3XL,Peach,19
SET365-KR-NP-M,SET365,Set,M,Pink,3
JNE3903-KR-L,JNE3903,kurta,L,Brown,39
JNE1233-BLUE-KR-031-XS,JNE1233,kurta,XS,Blue,23
SET224-KR-NP-S,SET224,Set,S,Rust,6
JNE3691-TU-XXL,JNE3691,Top,XXL,Maroon,6
J0252-SKD-XXL,J0252,Set,XXL,Orange,6
JNE3560-KR-XL,JNE3560,kurta,XL,Blue,223
JNE3416-KR-XL,JNE3416,kurta,XL,Brown,26
JNE3608-KR-XL,JNE3608,kurta,XL,Maroon,13
BTM039-PP-M,BTM039,Bottom,M,White,2
J0340-TP-XXL,J0340,Top,XXL,Green,24
JNE3400-KR-S,JNE3400,kurta,S,Brown,5
J0096-KR-L,J0096,kurta,L,Blue,106
J0301-TP-S,J0301,Top,S,Red,145
JNE3456-KR-XL,JNE3456,kurta,XL,Brown,5
SET243-KR-PP-XXXL,SET243,Set,3XL,Blue,3
J0232-SKD-XXXL,J0232,Set,3XL,Multicolor,41
SET187-KR-DH-XXXL,SET187,Set,3XL,Peach,52
SET398-KR-PP-S,SET398,Set,S,Peach,14
J0113-TP-XXXL,J0113,Top,3XL,Blue,22
JNE3501-KR-XS,JNE3501,kurta,XS,Pink,27
SET038-KR-PP-XS,SET038,Set,XS,Red,65
JNE3625-DR-XXXL,JNE3625,Western Dress,3XL,Peach,31
SET187-KR-DH-XS,SET187,Set,XS,Peach,102
J0004-SKD-S,J0004,Set,S,Grey,58
BTM040-PP-M,BTM040,Bottom,M,Brown,4
MEN5031-KR-XL,MEN5031,kurta,XL,Maroon,21
SET358-KR-NP-XXXL,SET358,Set,3XL,Green,4
JNE3376-KR-L,JNE3376,kurta,L,Mustard,7
JNE3792-KR-L,JNE3792,kurta,L,Green,35
SET197-KR-NP-L,SET197,Set,L,Mustard,358
SET366-KR-NP-M,SET366,Set,M,Pink,33
J0419-TP-L,J0419,Top,L,Maroon,34
J0418-TP-L,J0418,Top,L,Yellow,12
J0389-TP-L,J0389,Top,L,Teal,27
JNE3792-KR-XXXL,JNE3792,kurta,3XL,Green,14
JNE3363-KR-1032-XXL,JNE3363,kurta,XXL,Dark Blue,158
J0342-TP-M,J0342,Top,M,Blue,182
NW039-TP-SR-XXL,NW039,Set,XXL,Yellow,9
JNE3707-DR-M,JNE3707,Western Dress,M,Cream,5
NW009-ST-CP-L,NW009,Set,L,Turquoise,11
JNE3895-TP-XL,JNE3895,Top,XL,Beige,37
J0212-DR-L,J0212,Ethnic Dress,L,Green,9
J0126-SKD-L,J0126,Set,L,Blue,14
JNE3741-KR-L,JNE3741,kurta,L,TEAL GREEN ,1
J0205-TP-M,J0205,Top,M,Peach,2
JNE3404-KR-XL,JNE3404,kurta,XL,Wine,44
J0232-SKD-M,J0232,Set,M,Multicolor,31
J0338-DR-M,J0338,Western Dress,M,Mustard,224
JNE3648-TP-N-XXL,JNE3648,Top,XXL,,0
JNE3707-DR-L,JNE3707,Western Dress,L,Cream,9
JNE3783-KR-XXXL,JNE3783,kurta,3XL,Brown,0
SET226-KR-PP-XS,SET226,Set,XS,Grey,4
JNE3908-KR-S,JNE3908,kurta,S,Navy Blue,67
SET319-KR-NP-L,SET319,Set,L,Pink,9
JNE3909-KR-XL,JNE3909,kurta,XL,Dark Blue,61
JNE3786-KR-XS,JNE3786,kurta,XS,Black,63
JNE3862-TU-M,JNE3862,Top,M,Maroon,4
JNE3806-KR-M,JNE3806,kurta,M,Blue,9
SET305-KR-DPT-XXXL,SET305,Set,3XL,Peach,7
J0009-SKD-XS,J0009,Set,XS,Pink,64
NW005-ST-PJ-XXXL,NW005,Set,3XL,White,10
J0401-DR-XS,J0401,Western Dress,XS,Yellow,5
JNE3458-KR-L,JNE3458,kurta,L,Brown,3
JNE3612-KR-XS,JNE3612,kurta,XS,Light Green,8
JNE3878-KR-XS,JNE3878,kurta,XS,Wine,63
JNE3793-KR-S,JNE3793,kurta,S,Maroon,98
J0241-SKD-M,J0241,Set,M,OFF WHITE,21
JNE3518-KR-XXL,JNE3518,kurta,XXL,Turquoise,12
SET431-KR-NP-S,SET431,Set,S,Brown,98
JNE3762-KR-L,JNE3762,kurta,L,Maroon,51
J0219-BL-XXL,J0219,Blouse,XXL,Pink,54
NW024-TP-PJ-XXXL,NW024,Set,3XL,Blue,2
SET116-KR-NP-S,SET116,Set,S,Yellow,4
J0102-SKD-S,J0102,Set,S,Purple,39
J0331-KR-S,J0331,kurta,S,Purple,50
SET410-KR-NP-XS,SET410,Set,XS,Green,42
JNE3608-KR-M,JNE3608,kurta,M,Maroon,30
JNE3795-KR-XL,JNE3795,kurta,XL,Blue,180
SAR163,SAR163,Saree,Free,Green,25
JNE1977-KR-237-XS,JNE1977,kurta,XS,Peach,6
JNE3718-KR-XXL,JNE3718,kurta,XXL,Navy Blue,132
SET280-KR-PP-M,SET280,Set,M,Pink,3
J0239-SKD-XS,J0239,Set,XS,OFF WHITE,6
JNE3732-KR-XXL,JNE3732,kurta,XXL,Black,26
SET402-KR-NP-S,SET402,Set,S,Sea Green,28
JNE3795-KR-S,JNE3795,kurta,S,Blue,47
NW014-ST-SR-XXL,NW014,Set,XXL,Blue,26
J0342-TP-L,J0342,Top,L,Blue,70
J0085-TP-S,J0085,Top,S,Blue,8
NW006-ST-SR-S,NW006,Set,S,Beige,13
SET131-KR-NP-A-XXL,SET131,Set,XXL,,0
JNE3751-KR-S,JNE3751,kurta,S,White,23
SET228-KR-PP-A-S,SET228,Set,S,,0
JNE3456-KR-XS,JNE3456,kurta,XS,Brown,1
JNE3805-KR-XXL,JNE3805,kurta,XXL,Green,116
J0350-SET-XXL,J0350,Set,XXL,Cream,15
SET331-KR-NP-XS,SET331,Set,XS,Green,209
SET385-KR-NP-XL,SET385,Set,XL,Sky Blue,3
JNE3811-KR-XXXL,JNE3811,kurta,3XL,Navy Blue,12
J0139-KR-XXL,J0139,kurta,XXL,Navy Blue,3
JNE3862-TU-XXL,JNE3862,Top,XXL,Maroon,5
JNE3805-KR-L,JNE3805,kurta,L,Green,68
SET431-KR-NP-XXXL,SET431,Set,3XL,Brown,70
SET288-KR-NP-S,SET288,Set,S,Grey,16
SET044-KR-NP-XS,SET044,Set,XS,Mustard,14
J0101-DR-S,J0101,Ethnic Dress,S,Light Green,8
SET390-KR-NP-XS,SET390,Set,XS,Light Green,38
NW006-ST-SR-M,NW006,Set,M,Beige,27
JNE3758-KR-XL,JNE3758,kurta,XL,Maroon,82
JNE3928-KR-M,JNE3928,kurta,M,OFF WHITE,4
MEN5029-KR-XXL,MEN5029,kurta,XXL,Blue,16
J0395-DR-XS,J0395,Western Dress,XS,Teal,1
J0400-DR-XS,J0400,Western Dress,XS,Sea Green,10
JNE3425-KR-XL,JNE3425,kurta,XL,Pink,12
J0352-KR-XXL,J0352,kurta,XXL,Green,26
SET378-KR-NP-XS,SET378,Set,XS,Blue,1
SET233-KR-PP-XXL,SET233,Set,XXL,Pink,1
J0379-SKD-XXL,J0379,Set,XXL,Green,2
J0208-DR-L,J0208,Western Dress,L,Peach,2
J0337-TP-XXXL,J0337,Top,3XL,Mustard,15
J0073-KR-S,J0073,kurta,S,Light Blue,2
JNE3730-KR-S,JNE3730,kurta,S,Olive,73
SET158-KR-PP-XL,SET158,Set,XL,Mustard,51
JNE3734-KR-XL,JNE3734,kurta,XL,Sky Blue,7
JNE3575-KR-XL,JNE3575,kurta,XL,Pink,3
BTM038-PP-XXL,BTM038,Bottom,XXL,Black,3
JNE3924-TU-XS,JNE3924,Top,XS,MINT,34
JNE3407-KR-XXL,JNE3407,kurta,XXL,Olive Green,2
JNE3651-TP-N-S,JNE3651,Top,S,,0
NW033-ST-CP-L,NW033,Set,L,Yellow,30
SET433-KR-NP-XXXL,SET433,Set,3XL,Teal,42
JNE3718-KR-XS,JNE3718,kurta,XS,Navy Blue,101
SET251-KR-PP-XL,SET251,Set,XL,Cream,32
JNE3255-KR-XXL,JNE3255,kurta,XXL,Maroon,8
SET328-KR-NP-XXXL,SET328,Set,3XL,Black,38
JNE3422-KR-M,JNE3422,kurta,M,Pink,6
JNE3768-KR-L,JNE3768,kurta,L,Peach,70
J0097-KR-L,J0097,kurta,L,Indigo,7
JNE3434-KR-M,JNE3434,kurta,M,Mustard,5
JNE1906-KR-031-XL,JNE1906,kurta,XL,Black,10
JNE3767-KR-XXXL,JNE3767,kurta,3XL,Red,17
JNE2199-KR-411-A-XS,JNE2199,kurta,XS,,0
JNE3543-KR-XL,JNE3543,kurta,XL,Cream,3
JNE2032-KR-205-L,JNE2032,kurta,L,Teal,0
JNE3421-KR-M,JNE3421,kurta,M,Grey,10
SET374-KR-NP-S,SET374,Set,S,Mustard,34
JNE3656-TP-N-M,JNE3656,Top,M,,0
JNE3562-KR-XXL,JNE3562,kurta,XXL,Peach,5
BL036-176GOLD,BL036,Blouse,Free,Gold,45
SET239-KR-NP-L,SET239,Set,L,OFF WHITE,4
JNE3601-KR-XXL,JNE3601,kurta,XXL,Light Green,15
J0164-DR-XS,J0164,Ethnic Dress,XS,Orange,45
JNE3633-KR-XXL,JNE3633,kurta,XXL,Green,11
JNE3863-TU-XS,JNE3863,Top,XS,Light Blue,42
J0011-LCD-XS,J0011,Set,XS,Pink,7
SET353-KR-NP-XXXL,SET353,Set,3XL,Pink,25
J0279-SET-XXXL,J0279,Set,3XL,Light Green,55
MEN5014-KR-XXXL,MEN5014,kurta,3XL,Orange,8
JNE3791-DR-XXXL,JNE3791,Ethnic Dress,3XL,Light Green,12
JNE2113-KR-381-XXL,JNE2113,kurta,XXL,Multicolor,6
MEN5021-KR-L,MEN5021,kurta,L,Orange,7
JNE3668-TP-N-S,JNE3668,Top,S,,0
J0217-BL-XXL,J0217,Blouse,XXL,Purple,12
JNE3689-TU-XXL,JNE3689,Top,XXL,Navy Blue,12
JNE3836-KR-XS,JNE3836,kurta,XS,Sea Green,36
J0184-KR-XS,J0184,kurta,XS,Orange,7
JNE1906-KR-031-S,JNE1906,kurta,S,Black,21
J0335-DR-XL,J0335,Western Dress,XL,Orange,13
SET338-KR-NP-XXL,SET338,Set,XXL,Maroon,13
SET343-KR-NP-XXL,SET343,Set,XXL,OFF WHITE,23
MEN5002-KR-XXL,MEN5002,kurta,XXL,Blue,4
SET461-KR-NP-XXL,SET461,Set,XXL,Peach,74
JNE3434-KR-XXL,JNE3434,kurta,XXL,Mustard,3
JNE3636-KR-XXXL,JNE3636,kurta,3XL,Maroon,8
SET267-KR-NP-XS,SET267,Set,XS,Pink,107
JNE3786-KR-S,JNE3786,kurta,S,Black,56
SET315-KR-PP-M,SET315,Set,M,White,49
J0388-TP-XXL,J0388,Top,XXL,Red,39
JNE3760-KR-M,JNE3760,kurta,M,Teal,22
JNE2291-KR-602-XS,JNE2291,kurta,XS,Mustard,60
SET243-KR-PP-XL,SET243,Set,XL,Blue,10
SET332-KR-PP-L,SET332,Set,L,Black,38
JNE3555-KR-L,JNE3555,kurta,L,Maroon,20
J0332-DR-XXXL,J0332,Western Dress,3XL,Pink,2
J0416-DR-XS,J0416,Western Dress,XS,Pink,12
SET306-KR-PP-XXXL,SET306,Set,3XL,Green,23
SET334-KR-NP-XXXL,SET334,Set,3XL,Grey,35
SET397-KR-NP-XS,SET397,Set,XS,TEAL BLUE ,6
JNE3640-TP-N-XS,JNE3640,Top,XS,,0
SET449-KR-NP-S,SET449,Set,S,Wine,35
JNE3501-KR-S,JNE3501,kurta,S,Pink,29
JNE3767-KR-M,JNE3767,kurta,M,Red,99
JNE3795-KR-XXL,JNE3795,kurta,XXL,Blue,151
J0418-TP-M,J0418,Top,M,Yellow,3
SET273-KR-NP-XS,SET273,Set,XS,Brown,862
JNE3294-KR-M,JNE3294,kurta,M,Yellow,4
JNE3810-KR-L,JNE3810,kurta,L,Black,0
SET228-KR-PP-A-XL,SET228,Set,XL,,0
SET385-KR-NP-S,SET385,Set,S,Sky Blue,26
SAR154,SAR154,Saree,Free,Peach,23
J0172-TP-XXXL,J0172,Top,3XL,Blue,47
J0429-DR-M,J0429,Western Dress,M,Peach,65
JNE3783-KR-S,JNE3783,kurta,S,Brown,0
JNE3870-DR-XXXL,JNE3870,Western Dress,3XL,Orange,5
JNE3689-TU-XS,JNE3689,Top,XS,Navy Blue,3
NW004-TP-PJ-S,NW004,Set,S,Navy Blue,56
J0109-SKD-XXXL,J0109,Set,3XL,Black,6
JNE3798-KR-A-XXL,JNE3798,Western Dress,XXL,,0
SET286-KR-NP-M,SET286,Set,M,Maroon,40
JNE3708-TU-XXL,JNE3708,Top,XXL,White,11
J0090-TP-L,J0090,Top,L,Red,7
SET220-KR-PP-S,SET220,Set,S,White,33
NW008-ST-CP-S,NW008,Set,S,OFF WHITE,41
JNE3863-TU-XL,JNE3863,Top,XL,Light Blue,2
JNE3769-KR-XXXL,JNE3769,kurta,3XL,Blue,9
JNE3618-KR-XL,JNE3618,kurta,XL,Teal,5
SET445-KR-NP-S,SET445,Set,S,Pink,75
BTM036-PP-XXL,BTM036,Bottom,XXL,Red,3
JNE3610-KR-XL,JNE3610,kurta,XL,TEAL GREEN ,40
SET415-KR-NP-XL,SET415,Set,XL,Green,34
SET205-KR-DPT-A-XXXL,SET205,Set,3XL,,0
JNE3160-KR-G-L,JNE3160,kurta,L,,0
NW004-TP-PJ-M,NW004,Set,M,Navy Blue,61
J0098-TP-M,J0098,Top,M,Mustard,4
SET060-KR-NP-XL,SET060,Set,XL,,0
JNE3790-KR-M,JNE3790,kurta,M,Navy Blue,42
CH203-MAROON-S,CH203,Bottom,S,Maroon,2
CH204-PURPLE-M,CH204,Bottom,M,Purple,3
CH202-ORANGE-L,CH202,Bottom,L,Orange,3
J0205-TP-XS,J0205,Top,XS,Peach,7
JNE3610-KR-M,JNE3610,kurta,M,TEAL GREEN ,41
J0280-SKD-L,J0280,Set,L,Peach,119
J0216-BL-M,J0216,Blouse,M,Green,20
JNE3835-KR-XXL,JNE3835,kurta,XXL,Black,55
J0092-SET-XL,J0092,Set,XL,Blue,2
SET183-KR-DH-XXL,SET183,Set,XXL,Olive Green,52
JNE3446-KR-S,JNE3446,kurta,S,Grey,3
JNE3395-KR-M,JNE3395,kurta,M,Light Green,49
NW001-TP-PJ-XXL,NW001,Set,XXL,Light Pink,9
SET435-KR-NP-XXL,SET435,Set,XXL,Yellow,32
JNE3866-KR-XL,JNE3866,kurta,XL,Black,66
J0330-KR-XS,J0330,kurta,XS,Blue,5
JNE2270-KR-487-A-XL,JNE2270,kurta,XL,,0
J0231-SKD-XXXL,J0231,Set,3XL,Green,13
JNE3639-TP-N-L,JNE3639,Top,L,,0
JNE1977-KR-237-S,JNE1977,kurta,S,Peach,3
JNE1525-KR-UDF19-A-S,JNE1525,kurta,S,,0
